Status_of_Existing_Checking_Account,Duration_in_Month,Credit_History,Purpose,Credit_Amount,Savings_Account_bonds,Employment_Since,Installment_rate_in_percentage_of_disposable_income,Personal_Status_and_sex,other_debtors,Years_at_residence,Property,Age,Other_installment_plans,Housing,Number_of_Existing_credits,Job,Number_of_people_being_liable,telephone,foreign_worker,credit_risk
No checking account,27,4,1,5117,< 100 DM,4,3,male:single,none,4,car or other,26,none,own,2,skilled employee,1,None,Yes,0
0 DM,12,3,8,902,< 100 DM,4,4,male:married,none,4,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,1
No checking account,12,2,5,1495,< 100 DM,2,4,male:single,none,1,real estate,38,none,own,2,unskilled/resident,2,None,Yes,0
0 DM,30,2,9,10623,< 100 DM,2,3,male:single,none,4,unknown/no property,38,none,free,3,management/self employed,2,yes,Yes,0
No checking account,12,2,4,1935,< 100 DM,2,4,male:single,none,4,real estate,43,none,own,3,skilled employee,1,yes,Yes,0
0-200 DM,12,2,2,1424,< 100 DM,4,4,male:single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee,1,None,Yes,0
0 DM,24,3,1,6568,< 100 DM,3,2,male:married,none,2,car or other,21,stores,own,1,unskilled/resident,1,None,Yes,0
No checking account,12,3,9,1413,>1000 DM,4,3,male:single,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee,1,None,No,0
No checking account,9,2,6,3074,no savings,3,1,male:single,none,2,real estate,33,none,own,2,skilled employee,2,None,Yes,0
No checking account,36,3,6,3835,no savings,2,2,female:divorced/separated/married,none,4,real estate,45,none,own,1,unskilled/resident,1,yes,Yes,0
0 DM,27,5,1,5293,< 100 DM,5,2,male:single,none,4,building society savings agreement/ life insurance,50,stores,own,2,skilled employee,1,yes,Yes,1
>200 DM,30,4,1,1908,< 100 DM,2,4,male:single,none,4,real estate,66,none,own,1,management/self employed,1,yes,Yes,1
No checking account,36,2,6,3342,no savings,2,4,male:single,none,2,car or other,51,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,6,2,8,932,no savings,4,1,female:divorced/separated/married,none,3,building society savings agreement/ life insurance,39,none,own,2,unskilled/resident,1,None,Yes,0
0 DM,18,5,1,3104,< 100 DM,4,3,male:single,none,1,building society savings agreement/ life insurance,31,bank,own,1,skilled employee,1,yes,Yes,0
>200 DM,36,3,6,3913,< 100 DM,3,2,male:single,none,2,real estate,23,none,own,1,skilled employee,1,yes,Yes,0
0 DM,24,3,4,3021,< 100 DM,3,2,male:divorced/separated,none,2,real estate,24,none,rent,1,unskilled/resident,1,None,Yes,0
No checking account,10,3,5,1364,< 100 DM,3,2,female:divorced/separated/married,none,4,car or other,64,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,12,3,6,625,< 100 DM,1,4,male:married,guarantor,1,real estate,26,bank,own,1,unskilled/resident,1,None,Yes,0
0 DM,12,3,3,1200,no savings,3,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,23,bank,rent,1,skilled employee,1,yes,Yes,0
No checking account,12,3,6,707,< 100 DM,3,4,male:single,none,2,real estate,30,bank,own,2,skilled employee,1,None,Yes,0
No checking account,24,4,1,2978,no savings,3,4,male:single,none,4,real estate,32,none,own,2,skilled employee,2,yes,Yes,0
No checking account,15,3,9,4657,< 100 DM,3,3,male:single,none,2,car or other,30,none,own,1,skilled employee,1,yes,Yes,0
No checking account,36,5,7,2613,< 100 DM,3,4,male:single,none,2,car or other,27,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,48,3,6,10961,>1000 DM,4,1,male:single,co-applicant,2,unknown/no property,27,bank,own,2,skilled employee,1,yes,Yes,1
0 DM,12,3,4,7865,< 100 DM,2,4,male:single,none,4,unknown/no property,53,none,free,1,management/self employed,1,yes,Yes,1
No checking account,9,3,6,1478,< 100 DM,4,4,male:single,none,2,car or other,22,none,own,1,skilled employee,1,None,Yes,1
0 DM,24,3,4,3149,< 100 DM,1,4,male:single,none,1,unknown/no property,22,bank,free,1,skilled employee,1,None,Yes,0
>200 DM,36,3,6,4210,< 100 DM,3,4,male:single,none,2,car or other,26,none,own,1,skilled employee,1,None,Yes,1
No checking account,9,3,5,2507,500-1000 DM,2,2,male:single,none,4,unknown/no property,51,none,free,1,unskilled/resident,1,None,Yes,0
No checking account,12,3,6,2141,100-500 DM,4,3,male:single,none,1,unknown/no property,35,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,18,3,6,866,< 100 DM,3,4,male:married,guarantor,2,real estate,25,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,4,2,6,1544,< 100 DM,4,2,male:single,none,1,real estate,42,none,own,3,unskilled/resident,2,None,Yes,0
0 DM,24,3,6,1823,< 100 DM,5,4,male:single,none,2,car or other,30,stores,own,1,management/self employed,2,None,Yes,1
0-200 DM,6,3,5,14555,no savings,5,1,male:single,none,2,building society savings agreement/ life insurance,23,none,own,1,5,1,yes,Yes,1
0-200 DM,21,3,1,2767,100-500 DM,2,4,male:divorced/separated,none,2,car or other,61,bank,rent,2,unskilled/resident,1,None,Yes,1
No checking account,12,2,6,1291,< 100 DM,3,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,35,none,own,2,skilled employee,1,None,Yes,0
0 DM,30,3,6,2522,< 100 DM,2,1,male:single,guarantor,3,building society savings agreement/ life insurance,39,none,own,1,skilled employee,2,None,Yes,0
0 DM,24,3,5,915,no savings,2,4,female:divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee,1,None,Yes,1
No checking account,6,3,6,1595,< 100 DM,4,3,male:single,none,2,building society savings agreement/ life insurance,51,none,own,1,skilled employee,2,None,Yes,0
0 DM,48,5,9,4605,< 100 DM,2,3,male:single,none,4,unknown/no property,24,none,free,2,skilled employee,2,None,Yes,1
No checking account,12,2,1,1185,< 100 DM,3,3,female:divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee,1,None,Yes,0
No checking account,12,1,8,3447,500-1000 DM,3,4,female:divorced/separated/married,none,3,real estate,35,none,own,1,unskilled/resident,2,None,Yes,0
No checking account,24,3,1,1258,< 100 DM,4,4,male:single,none,1,real estate,25,none,own,1,skilled employee,1,yes,Yes,0
No checking account,12,2,6,717,< 100 DM,2,4,male:single,none,4,real estate,52,none,own,3,skilled employee,1,None,Yes,0
No checking account,6,5,5,1204,100-500 DM,3,4,male:single,none,1,unknown/no property,35,bank,rent,1,skilled employee,1,None,No,0
>200 DM,24,3,4,1925,< 100 DM,3,2,male:single,none,2,real estate,26,none,own,1,skilled employee,1,None,Yes,0
No checking account,18,3,6,433,< 100 DM,5,3,female:divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee,1,None,Yes,1
0 DM,6,2,5,666,>1000 DM,4,3,female:divorced/separated/married,none,4,real estate,39,none,own,2,unskilled/resident,1,yes,Yes,0
>200 DM,12,3,4,2251,< 100 DM,3,1,female:divorced/separated/married,none,2,car or other,46,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,30,3,5,2150,< 100 DM,3,4,female:divorced/separated/married,guarantor,2,unknown/no property,24,bank,own,1,skilled employee,1,None,Yes,1
No checking account,24,4,4,4151,100-500 DM,3,2,male:single,none,3,building society savings agreement/ life insurance,35,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,9,3,4,2030,no savings,4,2,male:single,none,1,car or other,24,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,60,4,6,7418,no savings,3,1,male:single,none,1,real estate,27,none,own,1,unskilled/resident,1,None,Yes,0
No checking account,24,2,6,2684,< 100 DM,3,4,male:single,none,2,real estate,35,none,own,2,unskilled/resident,1,None,Yes,0
0 DM,12,1,6,2149,< 100 DM,3,4,male:divorced/separated,none,1,unknown/no property,29,none,free,1,skilled employee,1,None,Yes,1
No checking account,15,3,9,3812,100-500 DM,1,1,female:divorced/separated/married,none,4,car or other,23,none,own,1,skilled employee,1,yes,Yes,0
No checking account,11,2,6,1154,100-500 DM,5,4,female:divorced/separated/married,none,4,real estate,57,none,own,3,unskilled/resident,1,None,Yes,0
0 DM,12,3,4,1657,< 100 DM,3,2,male:single,none,2,real estate,27,none,own,1,skilled employee,1,None,Yes,0
0 DM,24,3,6,1603,< 100 DM,2,4,female:divorced/separated/married,none,4,car or other,55,none,own,1,skilled employee,1,None,Yes,0
0 DM,18,2,5,5302,< 100 DM,2,2,male:single,none,4,unknown/no property,36,none,free,3,management/self employed,1,yes,Yes,0
No checking account,12,2,3,2748,< 100 DM,2,2,female:divorced/separated/married,none,4,unknown/no property,57,bank,free,3,unskilled/resident,1,None,Yes,0
No checking account,10,2,5,1231,< 100 DM,2,3,male:single,none,4,real estate,32,none,own,2,unskilled/resident,2,None,No,0
0-200 DM,15,3,6,802,< 100 DM,2,4,male:single,none,3,car or other,37,none,own,1,skilled employee,2,None,Yes,1
No checking account,36,2,1,6304,no savings,2,4,male:single,none,4,real estate,36,none,own,2,skilled employee,1,None,Yes,0
No checking account,24,3,6,1533,< 100 DM,1,4,female:divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee,1,yes,Yes,0
0 DM,14,3,5,8978,< 100 DM,2,1,male:divorced/separated,none,4,building society savings agreement/ life insurance,45,none,own,1,management/self employed,1,yes,No,1
No checking account,24,3,6,999,no savings,2,4,male:single,none,2,car or other,25,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,3,5,2662,no savings,4,4,male:single,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee,1,None,No,0
No checking account,12,2,4,1402,500-1000 DM,4,3,female:divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,48,1,5,12169,no savings,5,4,male:single,co-applicant,4,unknown/no property,36,none,free,1,management/self employed,1,yes,Yes,0
0-200 DM,48,3,6,3060,< 100 DM,4,4,male:single,none,4,real estate,28,none,own,2,skilled employee,1,None,Yes,1
0 DM,30,3,7,11998,< 100 DM,1,1,male:divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled/resident,1,yes,Yes,1
No checking account,9,3,6,2697,< 100 DM,3,1,male:single,none,2,real estate,32,none,own,1,skilled employee,2,None,Yes,0
No checking account,18,2,6,2404,< 100 DM,3,2,female:divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee,1,None,Yes,0
0 DM,12,3,4,1262,no savings,2,2,male:divorced/separated,none,4,building society savings agreement/ life insurance,49,none,own,1,unskilled/resident,1,yes,Yes,0
No checking account,6,3,4,4611,< 100 DM,1,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee,1,None,Yes,1
No checking account,24,3,6,1901,100-500 DM,3,4,male:single,none,4,car or other,29,none,rent,1,management/self employed,1,yes,Yes,0
No checking account,15,2,9,3368,>1000 DM,2,3,male:single,none,4,unknown/no property,23,none,rent,2,skilled employee,1,yes,Yes,0
No checking account,12,3,4,1574,< 100 DM,3,4,male:single,none,2,real estate,50,none,own,1,skilled employee,1,None,Yes,0
>200 DM,18,1,6,1445,no savings,4,4,male:single,none,4,car or other,49,bank,own,1,unskilled/resident,1,None,Yes,0
No checking account,15,2,4,1520,no savings,2,4,male:single,none,4,building society savings agreement/ life insurance,63,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,24,2,5,3878,100-500 DM,1,4,male:divorced/separated,none,2,car or other,37,none,own,1,skilled employee,1,yes,Yes,0
0 DM,47,3,5,10722,< 100 DM,1,1,female:divorced/separated/married,none,1,real estate,35,none,own,1,unskilled/resident,1,yes,Yes,0
0 DM,48,3,9,4788,< 100 DM,4,4,male:single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee,2,None,Yes,0
0-200 DM,48,4,10,7582,100-500 DM,5,2,male:single,none,4,unknown/no property,31,none,free,1,management/self employed,1,yes,Yes,0
0-200 DM,12,3,6,1092,< 100 DM,3,4,female:divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee,1,yes,Yes,0
0 DM,24,4,6,1024,< 100 DM,1,4,male:married,none,4,real estate,48,stores,own,1,skilled employee,1,None,Yes,1
No checking account,12,3,1,1076,< 100 DM,3,2,male:married,none,2,real estate,26,none,own,1,skilled employee,1,yes,No,0
0-200 DM,36,3,9,9398,< 100 DM,1,1,male:married,none,4,car or other,28,none,rent,1,management/self employed,1,yes,Yes,1
0 DM,24,2,9,6419,< 100 DM,2,2,female:divorced/separated/married,none,4,unknown/no property,44,none,free,2,management/self employed,2,yes,Yes,0
>200 DM,42,2,9,4796,< 100 DM,2,4,male:single,none,4,unknown/no property,56,none,free,1,skilled employee,1,None,Yes,0
No checking account,48,2,1,7629,no savings,2,4,male:divorced/separated,none,2,car or other,46,bank,own,2,management/self employed,2,None,Yes,0
0-200 DM,48,3,4,9960,< 100 DM,1,1,female:divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee,1,yes,Yes,1
No checking account,12,3,9,4675,no savings,1,1,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee,1,None,Yes,0
No checking account,10,3,5,1287,no savings,2,4,male:single,co-applicant,2,building society savings agreement/ life insurance,45,none,own,1,unskilled/resident,1,None,No,0
No checking account,18,3,4,2515,< 100 DM,3,3,male:single,none,4,real estate,43,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,21,2,4,2745,>1000 DM,4,3,male:single,none,2,car or other,32,none,own,2,skilled employee,1,yes,Yes,0
No checking account,6,3,5,672,< 100 DM,5,1,female:divorced/separated/married,none,4,real estate,54,none,own,1,5,1,yes,Yes,0
0-200 DM,36,5,6,3804,< 100 DM,3,4,female:divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee,1,yes,Yes,1
>200 DM,24,2,5,1344,no savings,4,4,male:single,none,2,real estate,37,bank,own,2,unskilled/resident,2,None,Yes,1
0 DM,10,2,5,1038,< 100 DM,4,4,male:single,co-applicant,3,building society savings agreement/ life insurance,49,none,own,2,skilled employee,1,yes,Yes,0
No checking account,48,2,5,10127,500-1000 DM,3,2,male:single,none,2,unknown/no property,44,bank,free,1,skilled employee,1,None,Yes,1
No checking account,6,3,4,1543,>1000 DM,3,4,male:divorced/separated,none,2,real estate,33,none,own,1,skilled employee,1,None,Yes,0
No checking account,30,3,9,4811,no savings,4,2,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,24,stores,rent,1,unskilled/resident,1,None,Yes,0
0 DM,12,3,6,727,100-500 DM,1,4,male:married,none,3,unknown/no property,33,none,own,1,unskilled/resident,1,yes,Yes,1
0-200 DM,8,3,4,1237,< 100 DM,3,3,female:divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee,1,None,Yes,1
0-200 DM,9,3,5,276,< 100 DM,3,4,male:married,none,4,real estate,22,none,rent,1,unskilled/resident,1,None,Yes,0
0-200 DM,48,3,10,5381,no savings,5,3,male:single,none,4,unknown/no property,40,bank,free,1,5,1,yes,Yes,0
No checking account,24,3,4,5511,100-500 DM,3,4,male:single,none,1,car or other,25,stores,own,1,skilled employee,1,None,Yes,0
>200 DM,24,3,4,3749,< 100 DM,1,2,female:divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,12,3,5,685,< 100 DM,4,2,male:married,none,3,car or other,25,bank,own,1,unskilled/resident,1,None,Yes,1
>200 DM,4,3,5,1494,no savings,1,1,male:single,none,2,real estate,29,none,own,1,unskilled/resident,2,None,No,0
0 DM,36,1,4,2746,< 100 DM,2,4,male:single,none,4,car or other,31,bank,own,1,skilled employee,1,None,Yes,1
0 DM,12,3,4,708,< 100 DM,3,2,male:single,guarantor,3,building society savings agreement/ life insurance,38,none,own,1,unskilled/resident,2,None,Yes,0
0-200 DM,24,3,4,4351,no savings,3,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,48,none,own,1,unskilled/resident,1,yes,Yes,0
No checking account,12,2,3,701,< 100 DM,3,4,male:single,none,2,car or other,32,none,own,2,skilled employee,1,None,Yes,0
0 DM,15,4,4,3643,< 100 DM,2,1,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,27,none,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,30,2,5,4249,< 100 DM,5,4,male:married,none,2,car or other,28,none,own,2,management/self employed,1,None,Yes,1
0 DM,24,3,6,1938,< 100 DM,1,4,male:divorced/separated,none,3,building society savings agreement/ life insurance,32,none,own,1,skilled employee,1,None,Yes,1
0 DM,24,3,9,2910,< 100 DM,4,2,male:single,none,1,unknown/no property,34,none,free,1,management/self employed,1,yes,Yes,0
0 DM,18,3,4,2659,>1000 DM,3,4,male:single,none,2,car or other,28,none,own,1,skilled employee,1,None,Yes,0
No checking account,18,2,5,1028,< 100 DM,3,4,female:divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee,1,None,Yes,0
0 DM,8,2,5,3398,< 100 DM,4,1,male:single,none,4,real estate,39,none,own,2,unskilled/resident,1,None,No,0
No checking account,12,2,4,5801,no savings,2,2,male:single,none,4,building society savings agreement/ life insurance,49,none,rent,1,skilled employee,1,yes,Yes,0
No checking account,24,3,5,1525,>1000 DM,4,4,female:divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee,2,yes,Yes,0
>200 DM,36,3,6,4473,< 100 DM,2,4,male:single,none,2,car or other,31,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,6,3,6,1068,< 100 DM,2,4,male:single,none,4,car or other,28,none,own,1,skilled employee,2,None,Yes,0
0 DM,24,2,9,6615,< 100 DM,5,2,male:single,none,4,unknown/no property,75,none,free,2,management/self employed,1,yes,Yes,0
No checking account,18,2,3,1864,100-500 DM,3,4,female:divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee,1,None,Yes,1
0-200 DM,60,3,5,7408,100-500 DM,1,4,female:divorced/separated/married,none,2,building society savings agreement/ life insurance,24,none,own,1,management/self employed,1,None,Yes,1
No checking account,48,2,9,11590,100-500 DM,3,2,female:divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled/resident,1,None,Yes,1
0 DM,24,5,4,4110,< 100 DM,2,3,male:single,none,4,unknown/no property,23,bank,rent,2,skilled employee,2,None,Yes,1
0 DM,6,2,4,3384,< 100 DM,3,1,male:divorced/separated,none,4,real estate,44,none,rent,1,management/self employed,1,yes,Yes,1
0-200 DM,13,3,6,2101,< 100 DM,1,2,female:divorced/separated/married,guarantor,4,building society savings agreement/ life insurance,23,none,own,1,unskilled/resident,1,None,Yes,0
0 DM,15,3,2,1275,no savings,3,4,female:divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee,1,None,Yes,1
0 DM,24,3,4,4169,< 100 DM,3,4,male:single,none,4,building society savings agreement/ life insurance,28,none,own,1,skilled employee,1,None,Yes,0
0-200 DM,10,3,4,1521,< 100 DM,3,4,male:divorced/separated,none,2,car or other,31,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,24,2,3,5743,< 100 DM,1,2,female:divorced/separated/married,none,4,unknown/no property,24,none,free,2,skilled employee,1,yes,Yes,0
0 DM,21,3,4,3599,< 100 DM,4,1,female:divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled/resident,1,None,Yes,0
0-200 DM,18,3,6,3213,500-1000 DM,1,1,male:married,none,3,real estate,25,none,rent,1,skilled employee,1,None,Yes,0
0-200 DM,18,3,1,4439,< 100 DM,2,1,male:single,co-applicant,1,real estate,33,bank,own,1,management/self employed,1,yes,Yes,0
>200 DM,10,3,5,3949,< 100 DM,1,1,male:single,guarantor,1,building society savings agreement/ life insurance,37,none,own,1,unskilled/resident,2,None,Yes,0
No checking account,15,2,6,1459,< 100 DM,3,4,female:divorced/separated/married,none,2,car or other,43,none,own,1,unskilled/resident,1,None,Yes,0
0-200 DM,13,2,6,882,< 100 DM,1,4,male:single,guarantor,4,real estate,23,none,own,2,skilled employee,1,None,Yes,0
0-200 DM,24,3,6,3758,500-1000 DM,5,1,female:divorced/separated/married,none,4,unknown/no property,23,none,rent,1,5,1,None,Yes,0
No checking account,6,4,1,1743,100-500 DM,3,1,male:single,none,2,real estate,34,none,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,9,2,3,1136,>1000 DM,2,4,male:single,none,3,unknown/no property,32,none,free,2,skilled employee,2,None,Yes,1
No checking account,9,3,2,1236,< 100 DM,1,1,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,9,3,4,959,< 100 DM,3,1,female:divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee,1,None,No,1
No checking account,18,2,9,3229,no savings,5,2,male:single,none,4,unknown/no property,38,none,own,1,management/self employed,1,yes,Yes,0
0 DM,12,5,6,6199,< 100 DM,3,4,male:single,none,2,building society savings agreement/ life insurance,28,none,rent,2,skilled employee,1,yes,Yes,1
No checking account,10,3,3,727,500-1000 DM,2,4,male:single,none,4,unknown/no property,46,none,free,1,skilled employee,1,yes,Yes,0
0-200 DM,24,3,5,1246,< 100 DM,1,4,male:single,none,2,real estate,23,stores,own,1,unskilled/resident,1,None,Yes,1
No checking account,12,2,6,2331,no savings,2,1,male:single,co-applicant,4,real estate,49,none,own,1,skilled employee,1,yes,Yes,0
No checking account,36,4,6,4463,< 100 DM,3,4,male:single,none,2,car or other,26,none,own,2,management/self employed,1,yes,Yes,1
No checking account,12,3,6,776,< 100 DM,3,4,male:married,none,2,real estate,28,none,own,1,skilled employee,1,None,Yes,0
0 DM,30,3,4,2406,< 100 DM,4,4,female:divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee,1,None,Yes,1
0-200 DM,18,3,3,1239,no savings,3,4,male:single,none,4,unknown/no property,61,none,free,1,skilled employee,1,None,Yes,0
>200 DM,12,3,6,3399,no savings,2,2,male:single,none,3,car or other,37,none,own,1,management/self employed,1,None,Yes,0
>200 DM,12,4,5,2247,< 100 DM,3,2,female:divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee,1,yes,Yes,0
No checking account,6,3,4,1766,< 100 DM,3,1,male:married,none,2,building society savings agreement/ life insurance,21,none,rent,1,skilled employee,1,None,Yes,0
0 DM,18,3,4,2473,< 100 DM,5,4,male:single,none,1,car or other,25,none,own,1,5,1,None,Yes,1
No checking account,12,3,1,1542,< 100 DM,4,2,male:single,none,4,car or other,36,none,own,1,skilled employee,1,yes,Yes,0
No checking account,18,2,9,3850,< 100 DM,4,3,male:single,none,1,car or other,27,none,own,2,skilled employee,1,None,Yes,0
0 DM,18,3,4,3650,< 100 DM,1,1,female:divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee,1,None,Yes,0
0 DM,36,3,4,3446,< 100 DM,2,4,male:single,none,2,car or other,42,none,own,1,skilled employee,2,None,Yes,1
0-200 DM,18,3,4,3001,< 100 DM,4,2,female:divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee,1,None,Yes,0
No checking account,36,3,5,3079,no savings,3,4,male:single,none,4,real estate,36,none,own,1,skilled employee,1,None,Yes,0
No checking account,18,2,6,6070,< 100 DM,2,3,male:single,none,4,car or other,33,none,own,2,skilled employee,1,yes,Yes,0
No checking account,10,2,4,2146,< 100 DM,1,1,female:divorced/separated/married,none,3,real estate,23,none,rent,2,skilled employee,1,None,Yes,0
No checking account,60,2,5,13756,no savings,2,2,male:single,none,4,unknown/no property,63,bank,free,1,management/self employed,1,yes,Yes,0
0-200 DM,60,1,10,14782,100-500 DM,2,3,female:divorced/separated/married,none,4,unknown/no property,60,bank,free,2,management/self employed,1,yes,Yes,1
0 DM,48,1,1,7685,< 100 DM,4,2,female:divorced/separated/married,guarantor,4,car or other,37,none,rent,1,skilled employee,1,None,Yes,1
No checking account,18,4,6,2320,< 100 DM,5,2,male:married,none,3,real estate,34,none,own,2,skilled employee,1,None,Yes,0
No checking account,7,4,6,846,no savings,2,3,male:single,none,4,unknown/no property,36,none,free,1,skilled employee,1,None,Yes,0
0-200 DM,36,3,5,14318,< 100 DM,2,4,male:single,none,2,unknown/no property,57,none,free,1,management/self employed,1,yes,Yes,1
No checking account,6,2,5,362,100-500 DM,3,4,female:divorced/separated/married,none,4,car or other,52,none,own,2,unskilled/resident,1,None,Yes,0
0 DM,20,3,4,2212,no savings,4,4,male:single,none,4,car or other,39,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,18,3,9,12976,< 100 DM,5,3,female:divorced/separated/married,none,4,unknown/no property,38,none,free,1,management/self employed,1,yes,Yes,1
No checking account,22,3,5,1283,no savings,4,4,female:divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee,1,None,Yes,0
>200 DM,12,3,5,1330,< 100 DM,1,4,male:single,none,1,real estate,26,none,own,1,skilled employee,1,None,Yes,0
No checking account,30,4,1,4272,100-500 DM,3,2,male:single,none,2,building society savings agreement/ life insurance,26,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,18,2,6,2238,< 100 DM,3,2,female:divorced/separated/married,none,1,car or other,25,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,3,6,1126,no savings,1,4,female:divorced/separated/married,none,2,real estate,21,none,rent,1,skilled employee,1,yes,Yes,0
0-200 DM,18,2,4,7374,< 100 DM,5,4,male:single,none,4,building society savings agreement/ life insurance,40,stores,own,2,management/self employed,1,yes,Yes,0
0-200 DM,15,2,1,2326,500-1000 DM,3,2,male:single,none,4,car or other,27,bank,own,1,skilled employee,1,None,Yes,0
No checking account,9,3,1,1449,< 100 DM,4,3,female:divorced/separated/married,none,2,car or other,27,none,own,2,skilled employee,1,None,Yes,0
No checking account,18,3,5,1820,< 100 DM,3,2,male:married,none,2,building society savings agreement/ life insurance,30,none,own,1,management/self employed,1,yes,Yes,0
0-200 DM,12,3,4,983,>1000 DM,1,1,female:divorced/separated/married,none,4,real estate,19,none,rent,1,unskilled/resident,1,None,Yes,0
0 DM,36,3,5,3249,< 100 DM,4,2,male:single,none,4,unknown/no property,39,bank,free,1,management/self employed,2,yes,Yes,0
0 DM,6,2,6,1957,< 100 DM,4,1,female:divorced/separated/married,none,4,car or other,31,none,own,1,skilled employee,1,None,Yes,0
No checking account,9,2,4,2406,< 100 DM,5,2,male:single,none,3,car or other,31,none,own,1,management/self employed,1,None,Yes,0
0-200 DM,39,4,3,11760,100-500 DM,4,2,male:single,none,3,unknown/no property,32,none,rent,1,skilled employee,1,yes,Yes,0
0 DM,12,3,4,2578,< 100 DM,5,3,female:divorced/separated/married,none,4,unknown/no property,55,none,free,1,management/self employed,1,None,Yes,0
0 DM,36,2,4,2348,< 100 DM,3,3,male:married,none,2,building society savings agreement/ life insurance,46,none,own,2,skilled employee,1,yes,Yes,0
0-200 DM,12,3,5,1223,< 100 DM,2,1,male:divorced/separated,none,1,real estate,46,none,rent,2,skilled employee,1,None,Yes,1
No checking account,24,2,6,1516,>1000 DM,3,4,female:divorced/separated/married,none,1,real estate,43,none,own,2,unskilled/resident,1,None,Yes,0
No checking account,18,3,6,1473,< 100 DM,1,3,male:married,none,4,real estate,39,none,own,1,skilled employee,1,yes,Yes,0
0-200 DM,18,2,1,1887,no savings,3,4,male:married,none,4,real estate,28,bank,own,2,skilled employee,1,None,Yes,0
No checking account,24,4,1,8648,< 100 DM,1,2,male:single,none,2,car or other,27,bank,own,2,skilled employee,1,yes,Yes,1
No checking account,14,4,5,802,< 100 DM,3,4,male:single,none,2,car or other,27,none,own,2,unskilled/resident,1,None,Yes,0
0-200 DM,18,4,5,2899,no savings,2,4,male:single,none,4,car or other,43,none,own,1,skilled employee,2,None,Yes,0
0-200 DM,24,3,6,2039,< 100 DM,1,1,male:married,none,1,building society savings agreement/ life insurance,22,none,own,1,skilled employee,1,yes,Yes,1
No checking account,24,2,9,2197,no savings,4,4,male:single,none,4,car or other,43,none,own,2,skilled employee,2,yes,Yes,0
0 DM,15,3,6,1053,< 100 DM,1,4,male:married,none,2,real estate,27,none,own,1,skilled employee,1,None,No,0
